序号,SoundType,SoundFile,事件类型备注,台词范例,Count,Weights,台词,ResFileName
139,advisor_notification_spaceport_lost,advisor_notification_spaceport_lost,恒星基地被摧毁,我们的一座恒星基地已被摧毁,1,1000,我们的一座恒星基地已被摧毁,A1-0139_阿米娅mod配音.wav
140,advisor_notification_spaceport_lost,advisor_notification_spaceport_lost,恒星基地被摧毁,我们的一座恒星基地已被摧毁,2,1000,恒星基地的工作人员已殉职……,A1-0140_阿米娅mod配音.wav
141,advisor_notification_spaceport_lost,advisor_notification_spaceport_lost,恒星基地被摧毁,我们的一座恒星基地已被摧毁,3,1000,恒星基地已沦陷，紧急逃生装置已触发,A1-0141_阿米娅mod配音.wav
142,advisor_notification_spaceport_under_attack,advisor_notification_spaceport_under_attack,恒星基地遭到攻击,恒星基地正遭到攻击,1,1000,恒星基地正遭到攻击,A1-0142_阿米娅mod配音.wav
143,advisor_notification_spaceport_under_attack,advisor_notification_spaceport_under_attack,恒星基地遭到攻击,恒星基地正遭到攻击,2,1000,恒星基地遭到攻击，防卫系统已上线,A1-0143_阿米娅mod配音.wav
144,advisor_notification_spaceport_under_attack,advisor_notification_spaceport_under_attack,恒星基地遭到攻击,恒星基地正遭到攻击,3,1000,恒星基地正遭到攻击，正在抵抗中,A1-0144_阿米娅mod配音.wav
145,advisor_notification_special_project_complete,advisor_notification_special_project_complete,特殊项目已完成,特殊项目已完成,1,1000,特殊项目已完成，快去看看吧,A1-0145_阿米娅mod配音.wav
146,advisor_notification_special_project_complete,advisor_notification_special_project_complete,特殊项目已完成,特殊项目已完成,2,1000,特殊项目已完成,A1-0146_阿米娅mod配音.wav
147,advisor_notification_special_project_complete,advisor_notification_special_project_complete,特殊项目已完成,特殊项目已完成,3,1000,终于完成啦，快去看看特殊项目的研究成果吧,A1-0147_阿米娅mod配音.wav
148,advisor_notification_species_modified,advisor_notification_species_modified,物种修饰已完成,物种修饰已完成,1,1000,基因重组协议生效…,A1-0148_阿米娅mod配音.wav
149,advisor_notification_species_modified,advisor_notification_species_modified,物种修饰已完成,物种修饰已完成,2,1000,物种修饰已完成,A1-0149_阿米娅mod配音.wav
150,advisor_notification_species_modified,advisor_notification_species_modified,物种修饰已完成,物种修饰已完成,3,1000,物种改造完成...,A1-0150_阿米娅mod配音.wav
151,advisor_notification_station_under_attack,advisor_notification_station_under_attack,空间站遭到攻击,我们的空间站有危险,1,1000,空间站遭到攻击,A1-0151_阿米娅mod配音.wav
152,advisor_notification_station_under_attack,advisor_notification_station_under_attack,空间站遭到攻击,我们的空间站有危险,2,1000,我们的空间站有危险,A1-0152_阿米娅mod配音.wav
153,advisor_notification_station_under_attack,advisor_notification_station_under_attack,空间站遭到攻击,我们的空间站有危险,3,1000,空间站防御系统已启动,A1-0153_阿米娅mod配音.wav
154,advisor_notification_system_survey_complete,advisor_notification_system_survey_complete,恒星系调查已完成,星系调查已完成,1,1000,星图数据更新…新的星系已调查完毕,A1-0154_阿米娅mod配音.wav
155,advisor_notification_system_survey_complete,advisor_notification_system_survey_complete,恒星系调查已完成,星系调查已完成,2,1000,星系调查已完成，真是美丽呢,A1-0155_阿米娅mod配音.wav
156,advisor_notification_system_survey_complete,advisor_notification_system_survey_complete,恒星系调查已完成,星系调查已完成,3,1000,星系档案录入完毕…星系调查完成,A1-0156_阿米娅mod配音.wav
157,advisor_notification_tile_blocker_clear,advisor_notification_tile_blocker_clear,行星障碍地块被清理,行星上的障碍地区已被移除,1,1000,地表障碍清除完毕...,A1-0157_阿米娅mod配音.wav
158,advisor_notification_tile_blocker_clear,advisor_notification_tile_blocker_clear,行星障碍地块被清理,行星上的障碍地区已被移除,2,1000,障碍地块已被移除,A1-0158_阿米娅mod配音.wav
159,advisor_notification_tile_blocker_clear,advisor_notification_tile_blocker_clear,行星障碍地块被清理,行星上的障碍地区已被移除,3,1000,环境改造有了新的进展,A1-0159_阿米娅mod配音.wav
160,advisor_notification_unidentified_object,advisor_notification_unidentified_object,发现不明物体,发现不明飞行物，请小心,1,1000,漂浮物内部检测到有机生命…,A1-0160_阿米娅mod配音.wav
161,advisor_notification_unidentified_object,advisor_notification_unidentified_object,发现不明物体,发现不明飞行物，请小心,2,1000,发现不明飞行物，请小心,A1-0161_阿米娅mod配音.wav
162,advisor_notification_unidentified_object,advisor_notification_unidentified_object,发现不明物体,发现不明飞行物，请小心,3,1000,未知构造体正在发射脉冲信号,A1-0162_阿米娅mod配音.wav
163,advisor_notification_wormhole_station_lost,advisor_notification_wormhole_station_lost,虫洞被摧毁,我们的虫洞发生器已被摧毁,1,1000,虫洞跃迁通道崩溃确认...,A1-0163_阿米娅mod配音.wav
164,advisor_notification_wormhole_station_lost,advisor_notification_wormhole_station_lost,虫洞被摧毁,我们的虫洞发生器已被摧毁,2,1000,虫洞发生器已经过载...,A1-0164_阿米娅mod配音.wav
165,advisor_notification_wormhole_station_lost,advisor_notification_wormhole_station_lost,虫洞被摧毁,我们的虫洞发生器已被摧毁,3,1000,虫洞站已离线，空间裂缝正在闭合...,A1-0165_阿米娅mod配音.wav
166,advisor_tutorial_legendary_leader,advisor_tutorial_legendary_leader,领袖招募列表已更新,有新的领袖前来应聘,1,1000,应聘者档案已更新,A1-0166_阿米娅mod配音.wav
167,advisor_tutorial_legendary_leader,advisor_tutorial_legendary_leader,领袖招募列表已更新,有新的领袖前来应聘,2,1000,候选人名单出现加密条目…,A1-0167_阿米娅mod配音.wav
168,advisor_tutorial_legendary_leader,advisor_tutorial_legendary_leader,领袖招募列表已更新,有新的领袖前来应聘,3,1000,有新的领袖前来应聘，一起看看吧,A1-0168_阿米娅mod配音.wav
169,advisor_tutorial_agenda_available,advisor_tutorial_agenda_available,新的议程可选择使用,有新的议程加入了可选列表,1,1000,有新的政治提案加入了可选列表,A1-0169_阿米娅mod配音.wav
170,advisor_tutorial_agenda_available,advisor_tutorial_agenda_available,新的议程可选择使用,有新的议程加入了可选列表,2,1000,有新的议程可选择,A1-0170_阿米娅mod配音.wav
171,advisor_tutorial_agenda_available,advisor_tutorial_agenda_available,新的议程可选择使用,有新的议程加入了可选列表,3,1000,检测到新的议程...,A1-0171_阿米娅mod配音.wav
172,advisor_tutorial_agenda_ready,advisor_tutorial_agenda_ready,议程完成,议程准备完毕，可启用,1,1000,议程准备完毕，可启用,A1-0172_阿米娅mod配音.wav
173,advisor_tutorial_agenda_ready,advisor_tutorial_agenda_ready,议程完成,议程准备完毕，可启用,2,1000,议程讨论已经通过，请启用,A1-0173_阿米娅mod配音.wav
174,advisor_tutorial_agenda_ready,advisor_tutorial_agenda_ready,议程完成,议程准备完毕，可启用,3,1000,议会讨论结束，新议程可推行,A1-0174_阿米娅mod配音.wav
